timestamp,experiment_name,accuracy,model_name,n_estimators,max_depth,C_SVM,kernel,test_size,rank
2026-04-19 13:20:04,rf_n200_d3_ts0.3,0.8981481481481481,Unknown,200,3.0,-,-,-,54
2026-04-19 13:20:00,rf_n100_d3_ts0.2,0.8972222222222223,Unknown,100,3.0,-,-,-,55
2026-04-19 13:20:04,rf_n200_d3_ts0.2,0.8944444444444445,Unknown,200,3.0,-,-,-,56
2026-04-19 13:19:59,rf_n50_d3_ts0.3,0.8888888888888888,Unknown,50,3.0,-,-,-,57
2026-04-19 13:20:01,rf_n100_d3_ts0.3,0.8870370370370371,Unknown,100,3.0,-,-,-,58
2026-04-19 13:19:58,rf_n50_d3_ts0.2,0.8833333333333333,Unknown,50,3.0,-,-,-,59
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,5.0,0.1,rbf,-,60
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,5.0,0.1,linear,-,61
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,5.0,1.0,rbf,-,62
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,5.0,1.0,linear,-,63
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,,0.1,rbf,-,64
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,,0.1,linear,-,65
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,,1.0,rbf,-,66
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,50,,1.0,linear,-,67
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,5.0,0.1,rbf,-,68
2026-04-19 13:31:33,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,5.0,0.1,linear,-,69
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,5.0,1.0,rbf,-,70
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,5.0,1.0,linear,-,71
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,,0.1,rbf,-,72
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,,0.1,linear,-,73
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,,1.0,rbf,-,74
2026-04-19 13:31:34,NaiveBayes_ts0.2,0.8472222222222222,NaiveBayes,100,,1.0,linear,-,75
